http://dx.doi.org/10.13039/100011608,"Société Canadienne de Pédiatrie"
http://dx.doi.org/10.13039/100010231,"Banting Research Foundation"
http://dx.doi.org/10.13039/501100004494,"Nature Conservancy of Canada"
http://dx.doi.org/10.13039/501100000244,"Gordon Foundation"
http://dx.doi.org/10.13039/100008185,"Ontario Innovation Trust"
http://dx.doi.org/10.13039/501100000158,"Faculty of Arts, University of Calgary"
http://dx.doi.org/10.13039/501100002877,"Churchill Northern Studies Centre"
http://dx.doi.org/10.13039/501100000156,"Fonds de Recherche du Québec - Santé"
http://dx.doi.org/10.13039/100011774,"Fondation Chiropratique du Québec"
http://dx.doi.org/10.13039/100008794,"Research Manitoba"
http://dx.doi.org/10.13039/100014267,"Bélanger-Gardner Foundation"
http://dx.doi.org/10.13039/501100003287,"Manitoba Mental Health Research Foundation"
http://dx.doi.org/10.13039/501100013216,"School of Graduate Studies, Queen's University"
http://dx.doi.org/10.13039/501100000201,"Lawson Foundation"
http://dx.doi.org/10.13039/100011782,"Western College of Veterinary Medicine, University of Saskatchewan"
http://dx.doi.org/10.13039/100006106,"Bone and Joint Decade Canada"
http://dx.doi.org/10.13039/501100000145,"Alberta Innovates - Health Solutions"
http://dx.doi.org/10.13039/100013374,"Ministère des relations internationales et de la Francophonie"
http://dx.doi.org/10.13039/100014407,"Ministry of Advanced Education, Government of Alberta"
http://dx.doi.org/10.13039/100008921,"Ministry of Agriculture - Saskatchewan"
http://dx.doi.org/10.13039/501100000107,"Research Services, University of Calgary"
http://dx.doi.org/10.13039/501100000233,"Genome British Columbia"
http://dx.doi.org/10.13039/100014469,"Ontario College of Pharmacists"
http://dx.doi.org/10.13039/501100000226,"Ontario Ministry of Health and Long-Term Care"
http://dx.doi.org/10.13039/501100003178,"Alberta Glycomics Centre"
http://dx.doi.org/10.13039/100013099,"Canadian Association of College and University Student Services"
http://dx.doi.org/10.13039/100013804,"Thalassemia Foundation of Canada"
http://dx.doi.org/10.13039/501100011029,"Helmholtz-Alberta Initiative"
http://dx.doi.org/10.13039/501100003346,"Carbon Management Canada"
http://dx.doi.org/10.13039/100005244,"Arctic Institute of North America"
http://dx.doi.org/10.13039/100011954,"Biogeoscience Institute, University of Calgary"
http://dx.doi.org/10.13039/501100000087,"Faculty of Graduate Studies, Dalhousie University"
http://dx.doi.org/10.13039/100011628,"Faculty of Veterinary Medicine, University of Calgary"
http://dx.doi.org/10.13039/100010092,"Hannah's Heroes Foundation"
http://dx.doi.org/10.13039/100011322,"General Motors of Canada"
http://dx.doi.org/10.13039/501100013230,"Childhood Cancer Canada"
http://dx.doi.org/10.13039/100014508,"Saskatoon Community Foundation"
http://dx.doi.org/10.13039/100014505,"R. Howard Webster Foundation"
http://dx.doi.org/10.13039/501100005247,"University of British Columbia"
http://dx.doi.org/10.13039/100013217,"Fisheries Joint Management Committee"
http://dx.doi.org/10.13039/100014116,"Ontario Veterinary College, University of Guelph"
http://dx.doi.org/10.13039/501100000030,"Institute of Genetics"
http://dx.doi.org/10.13039/100012271,"Canadian Race Relations Foundation"
http://dx.doi.org/10.13039/100012258,"Polar Knowledge Canada"
http://dx.doi.org/10.13039/100012972,"St. Thomas University"
http://dx.doi.org/10.13039/100014737,"Centre de recherche Léa-Roback"
http://dx.doi.org/10.13039/501100004111,"Leading Edge Endowment Fund"
http://dx.doi.org/10.13039/100012461,"Surgery and Critical Care Program, University Health Network"
http://dx.doi.org/10.13039/501100000064,"Banting and Best Diabetes Centre, University of Toronto"
http://dx.doi.org/10.13039/501100002956,"Defence Research and Development Canada"
http://dx.doi.org/10.13039/501100006441,"Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta"
http://dx.doi.org/10.13039/501100000010,"Canadian Association for the Study of the Liver"
http://dx.doi.org/10.13039/501100000141,"Alberta Foundation for the Arts"
http://dx.doi.org/10.13039/501100000013,"Canadian Bar Association"
http://dx.doi.org/10.13039/100011513,"Ataxia Canada"
